ADATE,Year,Month,Day,Anamolytype,Anamoly,Kp,ap,Date
1963-10-21,1963,10,21,NA,0,1.749875,8.75,1963-10-21
1963-10-22,1963,10,22,NA,0,0.58325,2.625,1963-10-22
1963-10-23,1963,10,23,NA,0,0.83325,3.375,1963-10-23
1963-10-24,1963,10,24,NA,0,5.1665,63.25,1963-10-24
1963-10-25,1963,10,25,NA,0,2.625,15.5,1963-10-25
1963-10-26,1963,10,26,NA,0,1.83325,7.5,1963-10-26
1963-10-27,1963,10,27,NA,0,0.916625,3.75,1963-10-27
1963-10-28,1963,10,28,NA,0,1.375,6.875,1963-10-28
1963-10-29,1963,10,29,NA,0,4.583375,73.75,1963-10-29
1963-10-30,1963,10,30,NA,0,3.125,35.125,1963-10-30
1963-10-31,1963,10,31,NA,0,1.541625,6.0,1963-10-31
1963-11-01,1963,11,1,NA,0,2.166625,8.5,1963-11-01
1963-11-02,1963,11,2,NA,0,2.916625,16.25,1963-11-02
1963-11-03,1963,11,3,NA,0,2.8748750000000003,16.5,1963-11-03
1963-11-04,1963,11,4,NA,0,1.666625,6.25,1963-11-04
1963-11-05,1963,11,5,NA,0,0.333125,1.875,1963-11-05
1963-11-06,1963,11,6,NA,0,2.541625,12.375,1963-11-06
1963-11-07,1963,11,7,NA,0,4.500125,39.0,1963-11-07
1963-11-08,1963,11,8,NA,0,4.83325,45.625,1963-11-08
1963-11-09,1963,11,9,NA,0,4.2915,33.0,1963-11-09
1963-11-10,1963,11,10,NA,0,4.041625,28.875,1963-11-10
1963-11-11,1963,11,11,NA,0,3.000125,15.75,1963-11-11
1963-11-12,1963,11,12,NA,0,2.79175,13.875,1963-11-12
1963-11-13,1963,11,13,NA,0,1.249875,4.75,1963-11-13
1963-11-14,1963,11,14,NA,0,1.08325,5.0,1963-11-14
1963-11-15,1963,11,15,NA,0,0.9165,3.875,1963-11-15
1963-11-16,1963,11,16,NA,0,0.6248750000000001,2.75,1963-11-16
1963-11-17,1963,11,17,NA,0,2.45825,16.25,1963-11-17
1963-11-18,1963,11,18,NA,0,0.666625,2.875,1963-11-18
1963-11-19,1963,11,19,NA,0,0.416625,1.875,1963-11-19
1963-11-20,1963,11,20,NA,0,0.9165,4.25,1963-11-20
1963-11-21,1963,11,21,NA,0,0.45825,2.125,1963-11-21
1963-11-22,1963,11,22,NA,0,1.33325,6.25,1963-11-22
1963-11-23,1963,11,23,NA,0,1.875,7.875,1963-11-23
1963-11-24,1963,11,24,NA,0,3.166625,19.75,1963-11-24
1963-11-25,1963,11,25,NA,0,2.666625,15.5,1963-11-25
1963-11-26,1963,11,26,NA,0,0.541625,2.125,1963-11-26
1963-11-27,1963,11,27,NA,0,0.875,3.5,1963-11-27
1963-11-28,1963,11,28,NA,0,1.1665,5.25,1963-11-28
1963-11-29,1963,11,29,NA,0,1.875,7.875,1963-11-29
1963-11-30,1963,11,30,NA,0,2.79175,17.75,1963-11-30
1963-12-01,1963,12,1,NA,0,1.25,5.0,1963-12-01
1963-12-02,1963,12,2,NA,0,2.58325,12.0,1963-12-02
1963-12-03,1963,12,3,NA,0,4.458375,36.25,1963-12-03
1963-12-04,1963,12,4,NA,0,3.79175,25.375,1963-12-04
1963-12-05,1963,12,5,NA,0,4.0,28.0,1963-12-05
1963-12-06,1963,12,6,NA,0,3.7085,23.25,1963-12-06
1963-12-07,1963,12,7,NA,0,2.958375,14.875,1963-12-07
1963-12-08,1963,12,8,NA,0,2.91675,14.5,1963-12-08
1963-12-09,1963,12,9,NA,0,1.708375,7.375,1963-12-09
1963-12-10,1963,12,10,NA,0,0.041625,0.25,1963-12-10
1963-12-11,1963,12,11,NA,0,0.33325,1.75,1963-12-11
